year_idx,plot_id,plot_name,region_group,lai_total,cc_total,biomass_ag_t_ha,adult_density_ha,sapling_density_ha,sw_top_mean,sw_sub_mean,al_floor_mean,di_annual_mean,GDD_deciduous,GDD_evergreen,T_winter,trees_died,saplings_died,mortality_rate_pct,tree_age_max,tree_age_mean,sapling_age_max,sapling_age_mean,herb_biomass_kg,herb_lai_mean,saplings_established,trees_recruited,trees_stressed,saplings_stressed,f_env_tree_mean,f_env_sapling_mean
16,2,"SW3","LL",2.352,0.771,14.227,2022.222,2722.222,14.185,302.702,0.809,0.030,1238.749,1273.723,-2.490,0,0,0.000,16,13.104,10,4.984,181.675,1.179,32,22,0,0,0.621,0.544
17,0,"SW1","LL",3.529,1.000,21.896,6200.000,5933.333,104.714,320.000,0.675,0.000,1044.039,1068.018,-3.760,1,10,0.179,17,14.692,15,6.798,189.053,1.227,58,38,1,2,0.488,0.427
17,1,"SW2","LL",3.667,1.000,31.241,4200.000,4388.889,90.310,320.000,0.589,0.000,1075.352,1110.574,-3.554,0,2,0.000,17,14.601,13,5.261,170.526,1.107,26,45,0,3,0.531,0.407
17,2,"SW3","LL",2.799,0.966,20.595,2322.222,2577.778,31.755,317.120,0.729,0.004,1128.508,1162.260,-3.090,0,4,0.000,17,13.579,11,5.099,185.188,1.202,18,27,0,0,0.565,0.466
18,0,"SW1","LL",4.147,1.000,32.940,6922.222,5911.111,94.147,320.000,0.521,0.000,1019.085,1037.563,-3.393,0,5,0.000,18,15.324,15,6.383,157.874,1.024,68,65,0,7,0.489,0.362
18,1,"SW2","LL",4.315,1.000,42.900,4488.889,4355.556,129.188,320.000,0.474,0.000,1060.581,1091.366,-3.220,1,4,0.247,18,15.304,12,5.574,149.753,0.972,28,27,0,12,0.482,0.355
18,2,"SW3","LL",3.391,1.000,29.080,2444.444,2722.222,10.929,307.633,0.650,0.003,1251.469,1289.713,-2.624,0,3,0.000,18,14.382,12,5.351,183.560,1.191,27,11,0,1,0.586,0.512
19,0,"SW1","LL",4.904,1.000,46.259,7244.444,6033.333,145.389,320.000,0.387,0.000,1009.596,1024.410,-3.427,1,9,0.153,19,16.166,16,6.506,131.152,0.851,50,30,2,34,0.439,0.297
19,1,"SW2","LL",5.237,1.000,59.020,4755.556,4177.778,138.701,320.000,0.366,0.000,1126.438,1188.377,-3.520,0,7,0.000,19,16.014,13,6.051,133.032,0.863,15,24,1,34,0.525,0.344
19,2,"SW3","LL",3.835,1.000,39.663,2800.000,2477.778,11.320,295.399,0.557,0.024,1171.266,1231.685,-2.324,0,4,0.000,19,14.726,13,5.493,149.808,0.972,14,32,0,9,0.580,0.439
20,0,"SW1","LL",5.900,1.000,64.906,7622.222,5855.556,154.737,320.000,0.270,0.000,1021.154,1044.811,-3.860,0,10,0.000,20,16.969,16,6.744,111.132,0.721,28,34,0,92,0.445,0.237
20,1,"SW2","LL",6.053,1.000,76.064,5022.222,3933.333,87.794,320.000,0.268,0.000,1064.768,1087.091,-3.120,1,11,0.221,20,16.690,14,6.500,116.850,0.758,14,25,1,80,0.456,0.245
20,2,"SW3","LL",4.249,1.000,52.287,2911.111,2611.111,0.000,276.923,0.466,0.055,1202.047,1248.196,-2.457,0,4,0.000,20,15.523,14,5.732,98.539,0.639,26,10,1,14,0.534,0.422
21,0,"SW1","LL",7.207,1.000,88.119,7966.667,5411.111,118.580,320.000,0.173,0.000,1084.222,1113.685,-3.527,0,34,0.000,21,17.760,17,6.982,99.302,0.644,25,31,2,144,0.469,0.198
21,1,"SW2","LL",7.095,1.000,98.015,5177.778,3622.222,31.181,320.000,0.192,0.000,1131.065,1165.352,-3.487,0,27,0.000,21,17.519,14,7.000,106.368,0.690,13,14,4,97,0.474,0.231
21,2,"SW3","LL",5.089,1.000,67.504,3133.333,2522.222,0.000,199.629,0.374,0.045,1251.469,1289.713,-2.624,0,11,0.000,21,16.092,15,5.758,100.547,0.652,23,20,0,19,0.528,0.375
22,0,"SW1","LL",8.295,1.000,113.097,8100.000,4733.333,154.677,320.000,0.099,0.000,1009.596,1024.410,-3.427,0,65,0.000,22,18.674,17,7.453,92.814,0.602,16,12,8,236,0.383,0.120
22,1,"SW2","LL",7.949,1.000,121.940,5300.000,3133.333,13.651,315.501,0.127,0.029,1075.352,1110.574,-3.554,1,56,0.209,22,18.350,14,7.021,95.710,0.621,24,12,8,101,0.425,0.199
22,2,"SW3","LL",5.580,1.000,81.026,3177.778,2533.333,0.000,163.885,0.293,0.131,1195.926,1268.024,-3.124,0,9,0.000,22,17.010,16,6.303,90.299,0.586,14,4,3,50,0.370,0.247
23,0,"SW1","LL",9.598,1.000,145.320,8144.444,3844.444,149.635,320.000,0.058,0.000,1079.024,1134.870,-3.793,2,85,0.272,23,19.634,18,7.815,90.222,0.585,11,6,10,223,0.428,0.099
23,1,"SW2","LL",8.960,1.000,149.435,5377.778,2700.000,16.980,315.517,0.085,0.000,1117.486,1155.608,-3.720,0,45,0.000,23,19.254,14,7.329,92.689,0.601,13,7,7,102,0.431,0.181
23,2,"SW3","LL",5.425,1.000,82.247,3188.889,2377.778,0.000,138.827,0.240,0.255,1202.047,1248.196,-2.457,0,13,0.000,23,17.993,17,7.112,81.119,0.526,0,1,277,202,0.014,0.020
24,0,"SW1","LL",10.525,1.000,181.118,8177.778,2111.111,118.177,320.000,0.031,0.000,1105.569,1135.442,-3.660,0,157,0.000,24,20.611,18,8.132,89.379,0.580,4,3,21,142,0.406,0.076
24,1,"SW2","LL",9.451,1.000,176.529,5444.444,2022.222,0.000,253.971,0.055,0.070,1066.317,1094.530,-3.587,1,61,0.204,24,20.159,15,7.385,88.519,0.574,7,7,17,92,0.366,0.138
24,2,"SW3","LL",5.318,1.000,80.989,3133.333,1944.444,0.000,147.165,0.239,0.242,1217.534,1285.677,-2.624,5,39,1.742,24,18.965,13,7.823,83.095,0.539,0,0,272,162,0.012,0.024
25,0,"SW1","LL",11.003,1.000,216.378,8144.444,1366.667,99.948,320.000,0.018,0.000,1044.039,1068.018,-3.760,3,69,0.408,25,21.615,18,8.520,89.117,0.578,2,0,31,108,0.354,0.050
25,1,"SW2","LL",9.774,1.000,196.656,5466.667,1544.444,0.000,184.413,0.038,0.129,1090.494,1118.968,-3.487,1,43,0.203,25,21.124,16,7.698,87.555,0.568,3,3,35,92,0.247,0.090
25,2,"SW3","LL",5.927,1.000,90.927,3255.556,1755.556,0.000,171.595,0.245,0.160,1192.211,1229.354,-3.590,0,22,0.000,25,19.717,14,7.506,79.842,0.518,16,11,6,0,0.320,0.261
26,0,"SW1","LL",11.762,1.000,257.273,8088.889,588.889,46.806,320.000,0.013,0.000,1110.840,1146.142,-3.160,5,74,0.682,26,22.626,16,8.000,88.983,0.577,4,0,41,41,0.384,0.091
26,1,"SW2","LL",9.795,1.000,209.016,5433.333,1011.111,0.000,177.802,0.030,0.181,1149.487,1207.627,-3.020,4,51,0.811,26,22.125,16,7.659,86.979,0.564,4,1,72,71,0.143,0.076
26,2,"SW3","LL",6.169,1.000,101.144,3288.889,2144.444,0.000,177.634,0.211,0.187,1128.508,1162.260,-3.090,2,3,0.671,26,20.615,15,6.710,76.040,0.493,43,5,10,34,0.249,0.233
27,0,"SW1","LL",11.906,1.000,301.541,8066.667,211.111,44.896,319.791,0.009,0.000,1075.067,1111.126,-2.627,3,35,0.412,27,23.623,16,6.421,88.983,0.577,2,1,50,13,0.357,0.115
27,1,"SW2","LL",10.770,1.000,233.633,5433.333,588.889,0.000,207.693,0.026,0.110,1149.487,1207.627,-3.020,0,41,0.000,27,23.125,17,7.698,86.617,0.562,3,0,29,15,0.298,0.164
27,2,"SW3","LL",7.026,1.000,117.467,3344.444,2700.000,0.000,209.073,0.184,0.068,1191.746,1242.147,-1.957,1,13,0.331,27,21.468,16,5.506,79.725,0.517,69,6,4,12,0.396,0.344
28,0,"SW1","LL",12.422,1.000,349.125,8022.222,111.111,89.613,320.000,0.008,0.000,1084.873,1133.915,-3.093,6,7,0.824,28,24.608,15,5.500,88.983,0.577,0,2,63,10,0.365,0.031
